date,campaign_id,impressions,clicks,conversions,spend,revenue,likes,shares,bounce_rate,avg_session_duration_sec,ctr,cpc,cpa,roas,conversion_rate,cost_per_impression,year,month,month_name,quarter,week_number,day_of_week,is_weekend
2023-05-23,CMP-0001,1019,6,0,11.42,0.0,1,0,0.3761,38.3,0.005888,1.9033,0.0,0.0,0.0,11.2071,2023,5,May,2023Q2,21,Tuesday,False
2023-05-24,CMP-0001,953,5,0,0.29,0.0,1,0,0.5751,237.7,0.005247,0.058,0.0,0.0,0.0,0.3043,2023,5,May,2023Q2,21,Wednesday,False
2023-05-25,CMP-0001,1032,7,0,9.78,0.0,2,0,0.2602,58.4,0.006783,1.3971,0.0,0.0,0.0,9.4767,2023,5,May,2023Q2,21,Thursday,False
2023-05-26,CMP-0001,958,6,0,1.89,0.0,1,0,0.5997,233.6,0.006263,0.315,0.0,0.0,0.0,1.9729,2023,5,May,2023Q2,21,Friday,False
2023-05-27,CMP-0001,628,2,0,2.52,0.0,0,0,0.6597,289.9,0.003185,1.26,0.0,0.0,0.0,4.0127,2023,5,May,2023Q2,21,Saturday,True
2023-05-28,CMP-0001,639,1,0,1.62,0.0,0,0,0.7291,128.0,0.001565,1.62,0.0,0.0,0.0,2.5352,2023,5,May,2023Q2,21,Sunday,True
2023-05-29,CMP-0001,989,4,0,10.73,0.0,1,0,0.301,235.2,0.004044,2.6825,0.0,0.0,0.0,10.8493,2023,5,May,2023Q2,22,Monday,False
2023-05-30,CMP-0001,960,3,0,12.75,0.0,0,0,0.6413,114.0,0.003125,4.25,0.0,0.0,0.0,13.2812,2023,5,May,2023Q2,22,Tuesday,False
2023-05-31,CMP-0001,1005,4,0,6.43,0.0,1,0,0.6748,249.4,0.00398,1.6075,0.0,0.0,0.0,6.398,2023,5,May,2023Q2,22,Wednesday,False
2023-06-01,CMP-0001,927,5,0,1.58,0.0,1,0,0.6037,139.1,0.005394,0.316,0.0,0.0,0.0,1.7044,2023,6,June,2023Q2,22,Thursday,False
2023-06-02,CMP-0001,901,4,0,11.01,0.0,0,0,0.5191,152.8,0.00444,2.7525,0.0,0.0,0.0,12.2198,2023,6,June,2023Q2,22,Friday,False
2023-06-03,CMP-0001,586,2,0,6.53,0.0,0,0,0.6654,39.7,0.003413,3.265,0.0,0.0,0.0,11.1433,2023,6,June,2023Q2,22,Saturday,True
2023-06-04,CMP-0001,605,2,0,13.22,0.0,0,0,0.4395,23.2,0.003306,6.61,0.0,0.0,0.0,21.8512,2023,6,June,2023Q2,22,Sunday,True
2023-06-05,CMP-0001,1013,3,0,12.76,0.0,0,0,0.4202,265.9,0.002962,4.2533,0.0,0.0,0.0,12.5962,2023,6,June,2023Q2,23,Monday,False
2023-06-06,CMP-0001,891,5,0,10.52,0.0,0,0,0.2928,220.2,0.005612,2.104,0.0,0.0,0.0,11.807,2023,6,June,2023Q2,23,Tuesday,False
2023-06-07,CMP-0001,865,4,0,7.33,0.0,1,0,0.4954,241.0,0.004624,1.8325,0.0,0.0,0.0,8.474,2023,6,June,2023Q2,23,Wednesday,False
