lead_id,date,campaign_id,channel,region,lead_source,lead_status,deal_value,days_to_convert,lead_score,is_won,deal_size
LEAD-000001,2025-01-03,CMP-0003,Meta Ads,LATAM,Organic,Proposal,18218.48,-1,75,0,Large (>8K)
LEAD-000002,2025-01-03,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000003,2025-01-03,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,-1,10,0,No Deal
LEAD-000004,2025-01-03,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000005,2025-01-04,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,-1,10,0,No Deal
LEAD-000006,2025-01-04,CMP-0003,Meta Ads,LATAM,Direct,Lost,0.0,-1,0,0,No Deal
LEAD-000007,2025-01-04,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,-1,0,0,No Deal
LEAD-000008,2025-01-05,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000009,2025-01-05,CMP-0003,Meta Ads,LATAM,Organic,Won,30952.86,31,100,1,Large (>8K)
LEAD-000010,2025-01-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,-1,0,0,No Deal
LEAD-000011,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000012,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000013,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000014,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Won,22062.4,27,100,1,Large (>8K)
LEAD-000015,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000016,2025-01-07,CMP-0003,Meta Ads,LATAM,Referral,Proposal,15626.86,-1,75,0,Large (>8K)
LEAD-000017,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Proposal,17322.52,-1,75,0,Large (>8K)
LEAD-000018,2025-01-07,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000019,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000020,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Won,13133.82,18,100,1,Large (>8K)
LEAD-000021,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000022,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000023,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000024,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000025,2025-01-09,CMP-0003,Meta Ads,LATAM,Referral,Proposal,28066.83,-1,75,0,Large (>8K)
LEAD-000026,2025-01-09,CMP-0003,Meta Ads,LATAM,Organic,Won,27341.5,44,100,1,Large (>8K)
LEAD-000027,2025-01-09,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000028,2025-01-10,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,-1,0,0,No Deal
LEAD-000029,2025-01-10,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,-1,50,0,No Deal
LEAD-000030,2025-01-10,CMP-0003,Meta Ads,LATAM,Paid,Won,17350.34,65,100,1,Large (>8K)
LEAD-000031,2025-01-10,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,-1,50,0,No Deal
LEAD-000032,2025-01-10,CMP-0003,Meta Ads,LATAM,Referral,Won,7946.79,38,100,1,Medium (2K-8K)
LEAD-000033,2025-01-11,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000034,2025-01-11,CMP-0003,Meta Ads,LATAM,Referral,Proposal,34043.26,-1,75,0,Large (>8K)
LEAD-000035,2025-01-11,CMP-0003,Meta Ads,LATAM,Organic,Proposal,22812.63,-1,75,0,Large (>8K)
LEAD-000036,2025-01-11,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000037,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000038,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000039,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Won,25369.79,46,100,1,Large (>8K)
LEAD-000040,2025-01-12,CMP-0003,Meta Ads,LATAM,Direct,Proposal,31497.7,-1,75,0,Large (>8K)
LEAD-000041,2025-01-13,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000042,2025-01-13,CMP-0003,Meta Ads,LATAM,Direct,Qualified,0.0,-1,50,0,No Deal
LEAD-000043,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,-1,50,0,No Deal
LEAD-000044,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Proposal,20899.1,-1,75,0,Large (>8K)
LEAD-000045,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000046,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000047,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000048,2025-01-14,CMP-0003,Meta Ads,LATAM,Direct,Won,18598.12,16,100,1,Large (>8K)
LEAD-000049,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000050,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000051,2025-01-15,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,-1,50,0,No Deal
LEAD-000052,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000053,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000054,2025-01-15,CMP-0003,Meta Ads,LATAM,Direct,Proposal,33724.98,-1,75,0,Large (>8K)
LEAD-000055,2025-01-15,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000056,2025-01-16,CMP-0003,Meta Ads,LATAM,Referral,Won,24575.72,60,100,1,Large (>8K)
LEAD-000057,2025-01-16,CMP-0003,Meta Ads,LATAM,Referral,Won,35160.69,14,100,1,Large (>8K)
LEAD-000058,2025-01-16,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,-1,50,0,No Deal
LEAD-000059,2025-01-16,CMP-0003,Meta Ads,LATAM,Paid,Proposal,17727.57,-1,75,0,Large (>8K)
LEAD-000060,2025-01-16,CMP-0003,Meta Ads,LATAM,Paid,Won,11022.39,76,100,1,Large (>8K)
LEAD-000061,2025-01-17,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000062,2025-01-17,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000063,2025-01-17,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000064,2025-01-17,CMP-0003,Meta Ads,LATAM,Paid,Proposal,8124.65,-1,75,0,Large (>8K)
LEAD-000065,2025-01-17,CMP-0003,Meta Ads,LATAM,Direct,Won,34838.0,63,100,1,Large (>8K)
LEAD-000066,2025-01-18,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000067,2025-01-19,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000068,2025-01-19,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000069,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000070,2025-01-20,CMP-0003,Meta Ads,LATAM,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000071,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000072,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000073,2025-01-20,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000074,2025-01-21,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000075,2025-01-21,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000076,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Won,18405.92,24,100,1,Large (>8K)
LEAD-000077,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000078,2025-01-22,CMP-0003,Meta Ads,LATAM,Direct,Qualified,0.0,-1,50,0,No Deal
LEAD-000079,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000080,2025-01-22,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000081,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,Proposal,33319.29,-1,75,0,Large (>8K)
LEAD-000082,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000083,2025-01-23,CMP-0003,Meta Ads,LATAM,Organic,Won,18183.64,75,100,1,Large (>8K)
LEAD-000084,2025-01-23,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000085,2025-01-24,CMP-0003,Meta Ads,LATAM,Paid,Won,9024.45,61,100,1,Large (>8K)
LEAD-000086,2025-01-24,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000087,2025-01-25,CMP-0003,Meta Ads,LATAM,Referral,Proposal,24274.66,-1,75,0,Large (>8K)
LEAD-000088,2025-01-25,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,-1,10,0,No Deal
LEAD-000089,2025-01-25,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000090,2025-01-25,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000091,2025-01-25,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000092,2025-01-26,CMP-0003,Meta Ads,LATAM,Organic,Proposal,14777.1,-1,75,0,Large (>8K)
LEAD-000093,2025-01-26,CMP-0003,Meta Ads,LATAM,Paid,Proposal,8581.4,-1,75,0,Large (>8K)
LEAD-000094,2025-01-27,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000095,2025-01-27,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000096,2025-01-27,CMP-0003,Meta Ads,LATAM,Organic,Proposal,36885.56,-1,75,0,Large (>8K)
LEAD-000097,2025-01-27,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000098,2025-01-27,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,-1,10,0,No Deal
LEAD-000099,2025-01-28,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,-1,10,0,No Deal
LEAD-000100,2025-01-28,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,-1,10,0,No Deal
LEAD-000101,2025-01-28,CMP-0003,Meta Ads,LATAM,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000102,2025-01-28,CMP-0003,Meta Ads,LATAM,Referral,Proposal,28079.17,-1,75,0,Large (>8K)
LEAD-000103,2025-01-28,CMP-0003,Meta Ads,LATAM,Paid,Proposal,35712.93,-1,75,0,Large (>8K)
LEAD-000104,2025-01-29,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,-1,50,0,No Deal
LEAD-000105,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000106,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Won,23800.3,67,100,1,Large (>8K)
LEAD-000107,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000108,2025-01-29,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000109,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Proposal,23346.4,-1,75,0,Large (>8K)
LEAD-000110,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000111,2025-01-30,CMP-0003,Meta Ads,LATAM,Paid,Won,19866.42,52,100,1,Large (>8K)
LEAD-000112,2025-01-30,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000113,2025-01-31,CMP-0003,Meta Ads,LATAM,Referral,Won,31631.54,70,100,1,Large (>8K)
LEAD-000114,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000115,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000116,2025-01-31,CMP-0003,Meta Ads,LATAM,Paid,Proposal,19642.73,-1,75,0,Large (>8K)
LEAD-000117,2025-01-31,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000118,2025-02-01,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000119,2025-02-01,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000120,2025-02-02,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,-1,50,0,No Deal
LEAD-000121,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Won,30348.76,56,100,1,Large (>8K)
LEAD-000122,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000123,2025-02-02,CMP-0003,Meta Ads,LATAM,Organic,Won,17317.85,89,100,1,Large (>8K)
LEAD-000124,2025-02-02,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000125,2025-02-03,CMP-0003,Meta Ads,LATAM,Paid,Won,15678.78,40,100,1,Large (>8K)
LEAD-000126,2025-02-03,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000127,2025-02-03,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000128,2025-02-03,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000129,2025-02-03,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000130,2025-02-04,CMP-0003,Meta Ads,LATAM,Organic,Proposal,17548.78,-1,75,0,Large (>8K)
LEAD-000131,2025-02-04,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000132,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000133,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000134,2025-02-04,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000135,2025-02-05,CMP-0003,Meta Ads,LATAM,Organic,Won,25000.08,72,100,1,Large (>8K)
LEAD-000136,2025-02-05,CMP-0003,Meta Ads,LATAM,Referral,Lost,0.0,-1,0,0,No Deal
LEAD-000137,2025-02-05,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000138,2025-02-05,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000139,2025-02-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000140,2025-02-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,-1,0,0,No Deal
LEAD-000141,2025-02-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,-1,0,0,No Deal
LEAD-000142,2025-02-06,CMP-0003,Meta Ads,LATAM,Referral,New,0.0,-1,10,0,No Deal
LEAD-000143,2025-02-06,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,-1,10,0,No Deal
LEAD-000144,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Proposal,36743.2,-1,75,0,Large (>8K)
LEAD-000145,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000146,2025-02-07,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000147,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000148,2025-02-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000149,2025-02-08,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000150,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Proposal,9429.65,-1,75,0,Large (>8K)
LEAD-000151,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000152,2025-02-09,CMP-0003,Meta Ads,LATAM,Paid,Won,23124.8,65,100,1,Large (>8K)
LEAD-000153,2025-02-09,CMP-0003,Meta Ads,LATAM,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000154,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Won,17335.74,42,100,1,Large (>8K)
LEAD-000155,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Proposal,20980.67,-1,75,0,Large (>8K)
LEAD-000156,2025-02-10,CMP-0003,Meta Ads,LATAM,Direct,Won,34981.66,59,100,1,Large (>8K)
LEAD-000157,2025-02-10,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000158,2025-02-10,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,-1,10,0,No Deal
LEAD-000159,2023-01-07,CMP-0004,TikTok Ads,North America,Referral,Contacted,0.0,-1,25,0,No Deal
LEAD-000160,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,New,0.0,-1,10,0,No Deal
LEAD-000161,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Proposal,7213.27,-1,75,0,Medium (2K-8K)
LEAD-000162,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000163,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000164,2023-01-09,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000165,2023-01-10,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000166,2023-01-11,CMP-0004,TikTok Ads,North America,Paid,Lost,0.0,-1,0,0,No Deal
LEAD-000167,2023-01-12,CMP-0004,TikTok Ads,North America,Organic,Won,8397.09,8,100,1,Large (>8K)
LEAD-000168,2023-01-13,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000169,2023-01-13,CMP-0004,TikTok Ads,North America,Paid,Proposal,5450.35,-1,75,0,Medium (2K-8K)
LEAD-000170,2023-01-14,CMP-0004,TikTok Ads,North America,Organic,Proposal,8923.67,-1,75,0,Large (>8K)
LEAD-000171,2023-01-15,CMP-0004,TikTok Ads,North America,Organic,Contacted,0.0,-1,25,0,No Deal
LEAD-000172,2023-01-15,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000173,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000174,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Proposal,8435.73,-1,75,0,Large (>8K)
LEAD-000175,2023-01-16,CMP-0004,TikTok Ads,North America,Paid,Qualified,0.0,-1,50,0,No Deal
LEAD-000176,2023-01-16,CMP-0004,TikTok Ads,North America,Direct,Contacted,0.0,-1,25,0,No Deal
LEAD-000177,2023-01-17,CMP-0004,TikTok Ads,North America,Paid,Contacted,0.0,-1,25,0,No Deal
LEAD-000178,2023-01-17,CMP-0004,TikTok Ads,North America,Direct,Qualified,0.0,-1,50,0,No Deal
