date,campaign_id,impressions,clicks,conversions,spend,revenue,likes,shares,bounce_rate,avg_session_duration_sec
2023-05-23,CMP-0001,1019,6,0,11.42,0.0,1,0,0.3761,38.3
2023-05-24,CMP-0001,953,5,0,0.29,0.0,1,0,0.5751,237.7
2023-05-25,CMP-0001,1032,7,0,9.78,0.0,2,0,0.2602,58.4
2023-05-26,CMP-0001,958,6,0,1.89,0.0,1,0,0.5997,233.6
2023-05-27,CMP-0001,628,2,0,2.52,0.0,0,0,0.6597,289.9
2023-05-28,CMP-0001,639,1,0,1.62,0.0,0,0,0.7291,128.0
2023-05-29,CMP-0001,989,4,0,10.73,0.0,1,0,0.301,235.2
2023-05-30,CMP-0001,960,3,0,12.75,0.0,0,0,0.6413,114.0
2023-05-31,CMP-0001,1005,4,0,6.43,0.0,1,0,0.6748,249.4
2023-06-01,CMP-0001,927,5,0,1.58,0.0,1,0,0.6037,139.1
2023-06-02,CMP-0001,901,4,0,11.01,0.0,0,0,0.5191,152.8
2023-06-03,CMP-0001,586,2,0,6.53,0.0,0,0,0.6654,39.7
2023-06-04,CMP-0001,605,2,0,13.22,0.0,0,0,0.4395,23.2
2023-06-05,CMP-0001,1013,3,0,12.76,0.0,0,0,0.4202,265.9
2023-06-06,CMP-0001,891,5,0,10.52,0.0,0,0,0.2928,220.2
2023-06-07,CMP-0001,865,4,0,7.33,0.0,1,0,0.4954,241.0
2023-06-08,CMP-0001,981,3,0,1.4,0.0,0,0,0.5408,149.9
2023-06-09,CMP-0001,923,4,0,7.96,0.0,1,0,0.6014,92.2
2023-06-10,CMP-0001,620,2,0,3.77,0.0,0,0,0.5179,232.2
2023-06-11,CMP-0001,614,1,0,2.78,0.0,0,0,0.7383,164.5
2023-06-12,CMP-0001,987,4,0,4.24,0.0,0,0,0.3397,19.0
2023-06-13,CMP-0001,929,4,0,8.01,0.0,1,0,0.5987,51.0
2023-06-14,CMP-0001,969,4,0,13.03,0.0,1,0,0.4847,140.5
