lead_id,date,campaign_id,channel,region,lead_source,lead_status,deal_value,days_to_convert
LEAD-000001,2025-01-03,CMP-0003,Meta Ads,LATAM,Organic,Proposal,18218.48,
LEAD-000002,2025-01-03,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000003,2025-01-03,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,
LEAD-000004,2025-01-03,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000005,2025-01-04,CMP-0003,Meta Ads,LATAM,Organic,New,0.0,
LEAD-000006,2025-01-04,CMP-0003,Meta Ads,LATAM,Direct,Lost,0.0,
LEAD-000007,2025-01-04,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,
LEAD-000008,2025-01-05,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000009,2025-01-05,CMP-0003,Meta Ads,LATAM,Organic,Won,30952.86,31.0
LEAD-000010,2025-01-06,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,
LEAD-000011,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000012,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000013,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000014,2025-01-06,CMP-0003,Meta Ads,LATAM,Paid,Won,22062.4,27.0
LEAD-000015,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000016,2025-01-07,CMP-0003,Meta Ads,LATAM,Referral,Proposal,15626.86,
LEAD-000017,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Proposal,17322.52,
LEAD-000018,2025-01-07,CMP-0003,Meta Ads,LATAM,Direct,New,0.0,
LEAD-000019,2025-01-07,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000020,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Won,13133.82,18.0
LEAD-000021,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000022,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000023,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,Lost,0.0,
LEAD-000024,2025-01-08,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000025,2025-01-09,CMP-0003,Meta Ads,LATAM,Referral,Proposal,28066.83,
LEAD-000026,2025-01-09,CMP-0003,Meta Ads,LATAM,Organic,Won,27341.5,44.0
LEAD-000027,2025-01-09,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000028,2025-01-10,CMP-0003,Meta Ads,LATAM,Organic,Lost,0.0,
LEAD-000029,2025-01-10,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,
LEAD-000030,2025-01-10,CMP-0003,Meta Ads,LATAM,Paid,Won,17350.34,65.0
LEAD-000031,2025-01-10,CMP-0003,Meta Ads,LATAM,Organic,Qualified,0.0,
LEAD-000032,2025-01-10,CMP-0003,Meta Ads,LATAM,Referral,Won,7946.79,38.0
LEAD-000033,2025-01-11,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000034,2025-01-11,CMP-0003,Meta Ads,LATAM,Referral,Proposal,34043.26,
LEAD-000035,2025-01-11,CMP-0003,Meta Ads,LATAM,Organic,Proposal,22812.63,
LEAD-000036,2025-01-11,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000037,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000038,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000039,2025-01-12,CMP-0003,Meta Ads,LATAM,Paid,Won,25369.79,46.0
LEAD-000040,2025-01-12,CMP-0003,Meta Ads,LATAM,Direct,Proposal,31497.7,
LEAD-000041,2025-01-13,CMP-0003,Meta Ads,LATAM,Paid,Contacted,0.0,
LEAD-000042,2025-01-13,CMP-0003,Meta Ads,LATAM,Direct,Qualified,0.0,
LEAD-000043,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Qualified,0.0,
LEAD-000044,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Proposal,20899.1,
LEAD-000045,2025-01-13,CMP-0003,Meta Ads,LATAM,Referral,Contacted,0.0,
LEAD-000046,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000047,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,Qualified,0.0,
LEAD-000048,2025-01-14,CMP-0003,Meta Ads,LATAM,Direct,Won,18598.12,16.0
LEAD-000049,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
LEAD-000050,2025-01-14,CMP-0003,Meta Ads,LATAM,Paid,New,0.0,
